Type,Issue,Topic,Author,Examples,Solution,Electoral Commission website,Electoral Act,Independent Electoral Review,Andrew Geddis' Textbook,General Google
core,Living/currently overseas,ENROLMENT,,"I am living or staying in Australia at the time of the election, can I still enrol and how can I do it?",,"You can enrol if you've lived in NZ for more than 12 months continously at some point in your life AND are a NZ citizen and have been in NZ within the last 3 years OR a resident for electoral purposes and have been in NZ within the last 12 months. Your electorate will be where you last lived in NZ for longer than 1 month - https://vote.nz/enrolling/get-ready-to-enrol/are-you-eligible-to-enrol-and-vote
Enrol online, physical etc....",Section 72(12) - A New Zealand citizen who is outside New Zealand shall be deemed to reside where he or she had his or her last home in New Zealand,,,
core,Living/currently overseas,TURNOUT,,How do I vote if I'm overseas at the time of the election?,,"The best way to vote from overseas is to download your voting papers from our website, complete them, then upload them (you cannot send back voting papers through email). A link to download your voting papers will be available on this website from the date overseas voting opens. You can complete the papers both digitally or physically, if you choose to complete them by hand you can scan and upload them online or post or hand deliver them to your nearest overseas voting place. https://vote.nz/voting/how-to-vote/vote-from-overseas",,,,
core,BROKEN DOWN BY INTERNET ACCESS OR NOT? People in general with no internet access,General,,,,,,,,
core,BROKEN DOWN BY INTERNET ACCESS OR NOT? People in general with no internet access,ENROLMENT,,,,,,,,
core,BROKEN DOWN BY INTERNET ACCESS OR NOT? People in general with no internet access,TURNOUT,,,,,,,,
core,"Living in the realm countries - Niue, Cook Islands, Tokelau",General,,"I am from Niue, Cook Islands or Tokelau and I don't know if I can enrol and vote in New Zealand",,"You can enrol and vote once you have lived in New Zealand continously for 12 months or more - https://vote.nz/enrolling/get-ready-to-enrol/are-you-eligible-to-enrol-and-vote , https://vote.nz/enrolling/get-ready-to-enrol/enrol-from-overseas",S 80(1)(b) - a resident who is outside of NZ and has not been in NZ within the last 12 months are disqualified for registration. ,,"4.2.4 Exceptions to the right to vote
Pg 63 - New Zealand citizens or permanent residents who have never lived in Aotearoa New Zealand for at least one continuous year.",
core,"Living in the realm countries - Niue, Cook Islands, Tokelau",ENROLMENT,,,,,,,,
core,"Living in the realm countries - Niue, Cook Islands, Tokelau",TURNOUT,,,,,,,,
core,Migrants,General,,,,,,,,
core,Migrants,ENROLMENT,,,,"You can enrol if you're living in New Zealand lawfully and are not required to leave within a specified time (this does not have to be a permanent resident visa); AND you must have lived in New Zealand continously for 12 months or more (this counts time before a visa was granted); AND you must not be subject to sections 15 or 16 of the Immigration Act, for example have a conviction for certain offenses - https://vote.nz/enrolling/get-ready-to-enrol/are-you-eligible-to-enrol-and-vote
","Electoral Act s 73 Meaning of resident for electoral purposes

S 74(1)(b) Qualification of electors - that person has at some time resided continuously in NZ for a period of not less that 1 year.",,,
core,Migrants,TURNOUT,,,,,,,,
core,Resident or visa holder,General,,"I am a resident or have a visa to reside in New Zealand, I've never voted in NZ before, am I eligible to enrol and vote?",,,,,"4.2.4 Exceptions to the right to vote
Pg 63 - New Zealand citizens who reside outside the country and have not visited Aotearoa New Zealand within a three-year period, or permanent residents who reside outside the country and have not visited it within 12 months. However, citizens immediately regain the right to register on the electoral roll upon their re-entry into Aotearoa New Zealand for any period of time, while permanent residents do so once they re-establish their “residency” in Aotearoa New Zealand.",
core,Resident or visa holder,ENROLMENT,,,,"You can enrol if you're living in New Zealand lawfully and are not required to leave within a specified time (this does not have to be a permanent resident visa); AND you must have lived in New Zealand continously for 12 months or more (this counts time before a visa was granted); AND you must not be subject to sections 15 or 16 of the Immigration Act, for example have a conviction for certain offenses - https://vote.nz/enrolling/get-ready-to-enrol/are-you-eligible-to-enrol-and-vote","Electoral Act s 73 Meaning of resident for electoral purposes

S 74(1)(b) Qualification of electors - that person has at some time resided continuously in NZ for a period of not less that 1 year.",,,
core,Resident or visa holder,TURNOUT,,,,,,,,
core,People who have housing problems/are homeless/no address,General,,,,,"Electoral Act s 72(3) - a person resides at the place where that person chooses to make his or her home by reason of family or personal relations, or for other domestic or personal reasons. ",,,
core,People who have housing problems/are homeless/no address,ENROLMENT,,"I am experiencing homelessness/am unhoused and do no have an address to enrol, how can I still complete my enrolment form?",,"You can enrol at a place where you spend a lot of time; you can enrol at your last residential address where you lived for at least 1 month, even if it was some time ago; you can enrol at the address of a friend, family member, church or support group (just ensure you can safely collect your mail from this address) - https://vote.nz/enrolling/get-ready-to-enrol/are-you-eligible-to-enrol-and-vote",,,,
core,People who have housing problems/are homeless/no address,TURNOUT,,I am experiencing homelessness/am unhoused and do not know how or where I can go to cast a vote,,,,,,
core,People with physical disabilities,General,,"I am wheelchair bound with ALS. I have lost a lot of motor functions, including the use of my hands… can I vote? How do I seek assistance to vote? ",,,"Electoral Act s 170 Blind, disabled, or illiterate voters
S 167(2A) - elector is unable to comply with requirement because of physical disability... may gesture or by assistence of a person nominated...
S 85 Registration of persons who have a physical or mental impairment - may apply for a representative under s 83.",,,
core,People with physical disabilities,ENROLMENT,,,,"A person who is enrolled to vote, can complete and sign an enrolment form for someone who can’t do it themselves because of a physical impairment.
Or those with power of attorney can also complete and sign the form.
The form can be uploaded, emailed or posted. 
https://vote.nz/enrolling/get-help-to-enrol/need-help-to-enrol?lang=en-NZ",,,,
core,People with physical disabilities,TURNOUT,,Can't make it to a voting place...,,"Take away vote - for those who can make it, can bring a support person...",,,,
core,"People who are blind or vision-impaired 
",General,,,,,"Electoral Act s 170 - any elector who is wholly or partially blind... 
S 85 Registration of persons who have a physical or mental impairment - may apply for a representative under s 83.",,,
